Column,Maeaning,T_Value,P_Value,Alpha,Decision,Cohens_D,Effect_Size,,
PD1_AUSLIEF_1_G,Measured process value at output/final point,1.597828371,0.11065919,0.05,Accepted,0.068701671,Very Small,,
OEL_DURCHFLUSS,Oil flow rate,11.14850067,3.91E-26,0.05,Rejected,0.519453105,Medium,,
OEL_DRUCK,Oil pressure,-3.114634698,0.001937171,0.05,Rejected,-0.118405358,Very Small,,
OEL_TEMPERATUR,Oil temperature,4.455866418,1.01E-05,0.05,Rejected,0.161174354,Very Small,,
PF_SET,Press-fit setpoint,1.471148009,0.141828782,0.05,Accepted,0.066284253,Very Small,,
PF_TORQUE,Press-fit torque,-3.91342569,0.000102513,0.05,Rejected,-0.174078095,Very Small,,
PF_ANGLE,Press-fit angle,5.964318779,4.40E-09,0.05,Rejected,0.236726664,Small,,
SPANN_DRUCK,Clamping pressure,0.358211683,0.720328359,0.05,Accepted,0.046591361,Very Small,,
Val_Pressure_Bhsg,Measured value for Pressure Bhsg,0.399069722,0.689998218,0.05,Accepted,0.017853013,Very Small,,
Val_Pressure_CS,Measured value for Pressure CS,0.019448327,0.984490581,0.05,Accepted,0.000873139,Very Small,,
Val_Pressure_TS,Measured value for Pressure TS,0.056172125,0.955225299,0.05,Accepted,0.002540836,Very Small,,
Val_flow_System,Measured value for flow System,1.948410912,0.051877307,0.05,Accepted,0.083834157,Very Small,,
Val_flow_CS,Measured value for flow CS,0.927499329,0.354079523,0.05,Accepted,0.043559436,Very Small,,
Val_flow_TS,Measured value for flow TS,1.839266897,0.066420038,0.05,Accepted,0.082462148,Very Small,,
Val_LVDT_Width_PR1,Measured value for LVDT Width PR1,1.462237062,0.144250122,0.05,Accepted,0.061648062,Very Small,,
Val_LVDT_Width_PR2,Measured value for LVDT Width PR2,0.843620028,0.399250758,0.05,Accepted,0.036129629,Very Small,,
Min_Val_Load_BHsg_W1,Minimum measured value for Load BHsg W1,0.214629121,0.830134304,0.05,Accepted,0.00710758,Very Small,,
Max_Val_Load_BHsg_W1,Maximum measured value for Load BHsg W1,5.797020619,1.15E-08,0.05,Rejected,0.268421494,Small,,
Min_Val_Distance_BHsg_W1,Minimum measured value for Distance BHsg W1,0.977136429,0.328932842,0.05,Accepted,0.040755324,Very Small,,
Max_Val_Distance_BHsg_W1,Maximum measured value for Distance BHsg W1,2.782971184,0.005573472,0.05,Rejected,0.126197202,Very Small,,
Min_Val_Load_BHsg_W2,Minimum measured value for Load BHsg W2,4.26725452,2.33E-05,0.05,Rejected,0.171662353,Very Small,,
Max_Val_Load_BHsg_W2,Maximum measured value for Load BHsg W2,2.347686499,0.019246019,0.05,Rejected,0.100563553,Very Small,,
Min_Val_Distance_BHsg_W2,Minimum measured value for Distance BHsg W2,4.181218856,3.38E-05,0.05,Rejected,0.208418414,Small,,
Max_Val_Distance_BHsg_W2,Maximum measured value for Distance BHsg W2,1.76402943,0.078284436,0.05,Accepted,0.07386515,Very Small,,
Min_Val_Load_BHsg_W3,Minimum measured value for Load BHsg W3,-3.942296672,9.12E-05,0.05,Rejected,-0.164291273,Very Small,,
Max_Val_Load_BHsg_W3,Maximum measured value for Load BHsg W3,-1.449745439,0.147704187,0.05,Accepted,-0.063747998,Very Small,,
Min_Val_Distance_BHsg_W3,Minimum measured value for Distance BHsg W3,5.243959533,2.25E-07,0.05,Rejected,0.228304671,Small,,
Max_Val_Distance_BHsg_W3,Maximum measured value for Distance BHsg W3,0.450595356,0.652460798,0.05,Accepted,0.020626893,Very Small,,
Val_Temp_CWHeat,Measured CW heat temperature,0.895123786,0.3711148,0.05,Accepted,0.038252345,Very Small,,
Val_CWHeat_Cycletime,CW heat cycle time,-5.081050183,5.16E-07,0.05,Rejected,-0.222907871,Small,,
CW_Pick_Val_Distance_Servo1,CW process value: Pick Val Distance Servo1,-11.4289585,3.42E-27,0.05,Rejected,-0.972725269,Large,,
CW_Pick_Val_Distance_Servo2,CW process value: Pick Val Distance Servo2,7.603255208,1.29E-13,0.05,Rejected,0.395903369,Small,,
CW_Place_HIM_Val_Distance_Servo2,CW process value: Place HIM Val Distance Servo2,8.443242898,2.86E-16,0.05,Rejected,0.436054909,Small,,
CW_Place_TW_Val_Distance_Servo1,CW process value: Place TW Val Distance Servo1,-8.649120555,5.89E-17,0.05,Rejected,-0.414398098,Small,,
Pick_SN_Val_Distance_Servo1,Process/product value: Pick SN Val Distance Servo1,-0.678110853,0.497988969,0.05,Accepted,-0.029849252,Very Small,,
Place_SN_Val_Distance_Servo1,Process/product value: Place SN Val Distance Servo1,-0.313860944,0.753746729,0.05,Accepted,-0.01393378,Very Small,,
Min_Val_Load_CW_W1,Minimum measured value for Load CW W1,-0.980504554,0.3272884,0.05,Accepted,-0.219859586,Small,,
Max_Val_Load_CW_W1,Maximum measured value for Load CW W1,-0.980511846,0.327284806,0.05,Accepted,-0.219861219,Small,,
Min_Val_Distance_CW_W1,Minimum measured value for Distance CW W1,-0.980565878,0.327258175,0.05,Accepted,-0.219873322,Small,,
Max_Val_Distance_CW_W1,Maximum measured value for Distance CW W1,-0.980502869,0.327289231,0.05,Accepted,-0.219859209,Small,,
Min_Val_Load_CW_W2,Minimum measured value for Load CW W2,-0.980511707,0.327284875,0.05,Accepted,-0.219861189,Small,,
Max_Val_Load_CW_W2,Maximum measured value for Load CW W2,-0.980039745,0.32751756,0.05,Accepted,-0.219755448,Small,,
Min_Val_Distance_CW_W2,Minimum measured value for Distance CW W2,-0.980566236,0.327257998,0.05,Accepted,-0.219873404,Small,,
Max_Val_Distance_CW_W2,Maximum measured value for Distance CW W2,-0.980515564,0.327282974,0.05,Accepted,-0.219862053,Small,,
Val_PreTrq_Shaftnut,Measured shaft-nut pre-torque,2.097262407,0.036426998,0.05,Rejected,0.085322677,Very Small,,
Val_PreTrqAng_Shaftnut,Measured shaft-nut pre-torque angle,1.207990755,0.227567162,0.05,Accepted,0.045002304,Very Small,,
Torque_Retry_Count,Number of torque retries,-0.442179926,0.658533576,0.05,Accepted,-0.018539777,Very Small,,
