Column,Maeaning,T_Value,P_Value,Alpha,Decision,Cohens_D,Effect_Size
Val_flow_TS,Measured value for flow TS,1.8392668966792287,0.06642003800517571,0.05,Accepted,0.08246214835435978,Very Small
Val_LVDT_Width_PR1,Measured value for LVDT Width PR1,1.4622370624799106,0.1442501216394834,0.05,Accepted,0.06164806243584559,Very Small
Val_LVDT_Width_PR2,Measured value for LVDT Width PR2,0.8436200282779288,0.39925075826690243,0.05,Accepted,0.036129629262351096,Very Small
Min_Val_Load_BHsg_W1,Minimum measured value for Load BHsg W1,0.21462912084278168,0.8301343037071065,0.05,Accepted,0.007107579740685982,Very Small
Max_Val_Load_BHsg_W1,Maximum measured value for Load BHsg W1,5.7970206190652585,1.1453794257019072e-08,0.05,Rejected,0.2684214936206762,Small
Min_Val_Distance_BHsg_W1,Minimum measured value for Distance BHsg W1,0.9771364285950346,0.32893284229314657,0.05,Accepted,0.04075532400813742,Very Small
Max_Val_Distance_BHsg_W1,Maximum measured value for Distance BHsg W1,2.7829711841069886,0.00557347198328687,0.05,Rejected,0.1261972015204609,Very Small
Min_Val_Load_BHsg_W2,Minimum measured value for Load BHsg W2,4.2672545195776035,2.3305127985525665e-05,0.05,Rejected,0.17166235337118316,Very Small
Max_Val_Load_BHsg_W2,Maximum measured value for Load BHsg W2,2.3476864986109067,0.01924601898066483,0.05,Rejected,0.10056355260827861,Very Small
Min_Val_Distance_BHsg_W2,Minimum measured value for Distance BHsg W2,4.181218855940637,3.381986079380204e-05,0.05,Rejected,0.20841841417381463,Small
Max_Val_Distance_BHsg_W2,Maximum measured value for Distance BHsg W2,1.764029429991159,0.07828443552619367,0.05,Accepted,0.07386514991519166,Very Small
Min_Val_Load_BHsg_W3,Minimum measured value for Load BHsg W3,-3.9422966719301202,9.116330175780228e-05,0.05,Rejected,-0.1642912728984005,Very Small
Max_Val_Load_BHsg_W3,Maximum measured value for Load BHsg W3,-1.4497454391036289,0.14770418749535982,0.05,Accepted,-0.06374799769112444,Very Small
Min_Val_Distance_BHsg_W3,Minimum measured value for Distance BHsg W3,5.2439595331516475,2.2511424035764945e-07,0.05,Rejected,0.22830467133034016,Small
Max_Val_Distance_BHsg_W3,Maximum measured value for Distance BHsg W3,0.4505953555221965,0.6524607983500081,0.05,Accepted,0.020626892983542904,Very Small
Val_Temp_CWHeat,Measured CW heat temperature,0.8951237860365221,0.3711148003080862,0.05,Accepted,0.03825234476313358,Very Small
CW_Pick_Val_Distance_Servo1,CW process value: Pick Val Distance Servo1,-11.428958504700576,3.417347426031242e-27,0.05,Rejected,-0.9727252691146596,Large
CW_Pick_Val_Distance_Servo2,CW process value: Pick Val Distance Servo2,7.603255207716952,1.29029796916198e-13,0.05,Rejected,0.3959033691180235,Small
CW_Place_HIM_Val_Distance_Servo2,CW process value: Place HIM Val Distance Servo2,8.443242898289736,2.862572070281018e-16,0.05,Rejected,0.4360549092468587,Small
CW_Place_TW_Val_Distance_Servo1,CW process value: Place TW Val Distance Servo1,-8.649120554641,5.892677825312435e-17,0.05,Rejected,-0.41439809806544986,Small
Pick_SN_Val_Distance_Servo1,Process/product value: Pick SN Val Distance Servo1,-0.6781108528427674,0.4979889691268875,0.05,Accepted,-0.029849252069781285,Very Small
Place_SN_Val_Distance_Servo1,Process/product value: Place SN Val Distance Servo1,-0.3138609444104494,0.7537467294558854,0.05,Accepted,-0.01393378021605646,Very Small
Min_Val_Load_CW_W1,Minimum measured value for Load CW W1,-0.9805045541667387,0.32728840037030826,0.05,Accepted,-0.2198595861590674,Small
Max_Val_Load_CW_W1,Maximum measured value for Load CW W1,-0.980511845826845,0.3272848062794514,0.05,Accepted,-0.21986121850986173,Small
Min_Val_Distance_CW_W1,Minimum measured value for Distance CW W1,-0.9805658775370621,0.32725817461618484,0.05,Accepted,-0.21987332186568254,Small
Max_Val_Distance_CW_W1,Maximum measured value for Distance CW W1,-0.98050286932456,0.3272892308399698,0.05,Accepted,-0.21985920855993113,Small
Min_Val_Load_CW_W2,Minimum measured value for Load CW W2,-0.9805117072668029,0.32728487457606703,0.05,Accepted,-0.21986118911635152,Small
Max_Val_Load_CW_W2,Maximum measured value for Load CW W2,-0.9800397450468004,0.3275175598288643,0.05,Accepted,-0.21975544814254008,Small
Min_Val_Distance_CW_W2,Minimum measured value for Distance CW W2,-0.9805662356960169,0.32725799808811046,0.05,Accepted,-0.2198734037535325,Small
Max_Val_Distance_CW_W2,Maximum measured value for Distance CW W2,-0.9805155641306764,0.327282973521291,0.05,Accepted,-0.21986205310413526,Small
Val_PreTrq_Shaftnut,Measured shaft-nut pre-torque,2.0972624068939534,0.03642699825115907,0.05,Rejected,0.08532267687779348,Very Small
Val_PreTrqAng_Shaftnut,Measured shaft-nut pre-torque angle,1.207990755457891,0.2275671618829402,0.05,Accepted,0.04500230366158424,Very Small
Torque_Retry_Count,Number of torque retries,-0.44217992602548,0.6585335761569776,0.05,Accepted,-0.01853977743069885,Very Small
