order_id,customer_id,order_date,product,quantity,unit_price
ORD0038,CUST002,2026-02-17,Webcam,4,1745
ORD0096,CUST002,2026-06-21,Mouse,4,550
ORD0020,CUST017,2026-02-27,Headphones,4,2050
ORD0133,CUST020,2026-04-18,Laptop,4,50536
ORD0077,CUST011,2026-03-10,Monitor,3,10063
ORD0053,CUST002,2026-06-22,Webcam,2,1663
ORD0066,CUST024,2026-06-17,Mouse,3,653
ORD0004,cust023,2026-06-04,Webcam,4,1722
ORD0121,cust006,2026-04-23,Mouse,4,562
ORD0040,CUST026,2026-02-08,Headphones,3,2081
ORD0012,CUST017,2026-02-02,Headphones,3,2214
ORD0089,CUST016,2026-02-17,Laptop,1,60106
ORD0119,CUST026,2026-01-21,Mouse,1,601
ORD0006,CUST026,2026-01-24,Monitor,2,8898
ORD0141,CUST024,2026-02-12,Webcam,3,1702
ORD0043,CUST006,2026-05-22,Webcam,3,1926
ORD0099,CUST019,2026-01-07,Webcam,4,1722
ORD0106,CUST025,2026-04-06,Keyboard,1,1080
ORD0070,CUST021,2026-01-07,Keyboard,1,1310
ORD0085,CUST024,2026-05-21,Mouse,2,551
ORD0083,CUST002,2026-04-14,Webcam,5,1727
ORD0095,CUST016,2026-04-23,Headphones,3,2008
ORD0051,CUST010,2026-06-05,Keyboard,1,1291
ORD0069,CUST010,2026-03-04,Monitor,3,8553
ORD0108,CUST014,2026-03-27,Monitor,4,8729
ORD0138,CUST026,2026-04-06,Mouse,4,554
ORD0075,cust014,2026-06-14,Webcam,4,1934
ORD0067,CUST008,2026-04-16,Webcam,4,1632
ORD0072,CUST024,2026-01-09,Monitor,1,8655
ORD0058,CUST005,2026-02-08,Keyboard,4,1206
ORD0047,CUST006,2026-06-07,Monitor,2,9583
ORD0134,CUST027,2026-06-18,Laptop,2,59972
ORD0068,CUST011,2026-06-15,Laptop,4,54447
ORD0015,cust008,2026-06-17,Headphones,5,2264
ORD0100,CUST020,2026-02-09,Mouse,3,553
ORD0127,CUST001,2026-02-27,Monitor,4,10422
ORD0049,cust003,2026-03-21,Monitor,2,8723
ORD0111,,2026-04-03,Laptop,1,53710
ORD0087,cust002,2026-06-25,Mouse,4,615
ORD0109,CUST004,2026-03-18,Webcam,4,1718
ORD0082,CUST006,2026-03-26,Keyboard,5,1131
ORD0112,cust013,2026-05-11,Webcam,3,1759
ORD0052,CUST028,2026-05-05,Webcam,5,1878
ORD0149,CUST020,2026-05-08,Webcam,4,1819
ORD0026,CUST006,2026-03-18,Webcam,4,1845
ORD0005,CUST031,2026-06-11,Mouse,1,642
ORD0048,CUST001,2026-01-05,Laptop,4,59114
ORD0041,CUST009,2026-01-27,Monitor,2,8579
ORD0031,CUST021,2026-06-06,Laptop,4,50686
ORD0129,CUST013,2026-02-15,Laptop,5,53758
ORD0110,CUST021,2026-04-01,Keyboard,4,1143
ORD0137,CUST023,2026-03-21,Monitor,2,9350
ORD0076,CUST009,2026-04-02,Webcam,5,1685
ORD0027,CUST002,2026-05-10,Monitor,5,8681
ORD0062,CUST032,2026-03-15,Keyboard,4,1199
ORD0065,CUST014,2026-02-24,Laptop,5,53789
ORD0113,cust022,2026-06-23,Headphones,3,2121
ORD0019,CUST018,2026-04-17,Monitor,2,9981
ORD0059,CUST025,2026-06-10,Laptop,1,59608
ORD0105,CUST012,2026-06-15,Webcam,1,1779
ORD0036,CUST020,2026-03-15,Headphones,5,2324
ORD0115,CUST099,2026-04-25,Laptop,4,53613
ORD0042,CUST005,2026-03-14,Webcam,2,1648
ORD0139,CUST006,2026-03-15,Monitor,2,8816
ORD0033,,2026-04-01,Keyboard,3,1221
ORD0136,CUST020,2026-03-24,Monitor,5,10359
ORD0079,CUST026,2026-02-03,Laptop,2,57701
ORD0045,CUST029,2026-03-18,Laptop,3,53505
ORD0107,cust006,2026-04-04,Keyboard,5,1274
ORD0009,CUST002,2026-06-21,Laptop,1,58127
ORD0132,CUST014,2026-04-22,Laptop,3,52533
ORD0093,CUST013,2026-05-01,Monitor,1,9650
ORD0101,CUST032,2026-02-16,Headphones,4,2320
ORD0088,cust032,2026-05-28,Laptop,4,56855
ORD0142, CUST011 ,2026-04-25,Laptop,2,54441
ORD0102, CUST004 ,2026-04-02,Headphones,2,1992
ORD0118,CUST099,2026-05-03,Keyboard,5,1130
ORD0104, CUST021 ,2026-01-06,Webcam,3,1717
ORD0123,CUST008,2026-05-09,Keyboard,3,1145
ORD0074,CUST021,2026-04-01,Mouse,4,656
ORD0126,CUST099,2026-06-15,Webcam,1,1672
ORD0143,CUST009,2026-04-11,Laptop,1,59455
ORD0050,CUST010,2026-05-13,Webcam,3,1873
ORD0029,CUST003,2026-02-27,Mouse,4,648
ORD0017,CUST003,2026-05-01,Laptop,1,56762
ORD0007, CUST009 ,2026-04-26,Laptop,2,59520
ORD0035,CUST008,2026-02-07,Mouse,3,620
ORD0097,CUST017,2026-03-08,Mouse,4,544
ORD0147,CUST008,2026-06-27,Mouse,2,545
ORD0014,CUST029,2026-02-06,Mouse,2,600
ORD0021,CUST027,2026-03-03,Laptop,2,56517
ORD0146,CUST014,2026-05-06,Laptop,4,55385
ORD0081,CUST009,2026-01-06,Headphones,3,2264
ORD0022,CUST005,2026-01-25,Mouse,2,660
ORD0034,CUST027,2026-01-17,Keyboard,2,1320
ORD0145,CUST015,2026-02-27,Headphones,4,2073
ORD0011,CUST017,2026-02-25,Mouse,5,581
ORD0131,CUST003,2026-01-07,Keyboard,3,1089
ORD0130,CUST001,2026-06-20,Laptop,3,53065
ORD0114,CUST020,2026-05-26,Laptop,1,49897
ORD0024,CUST007,2026-02-22,Monitor,2,8880
ORD0094,CUST020,2026-03-21,Monitor,2,9523
